cell_index,status,classes,land_TA,land_NP,land_PD,land_AREA_MN,land_LPI,land_ED,land_SHAPE_MN,land_PR,land_PRD,land_SHDI,land_SIDI,land_SHEI,land_SIEI,land_IJI,land_TABO,land_BIA,land_TAOBIA,cls_1_CA,cls_1_PLAND,cls_1_NP,cls_1_PD,cls_1_AREA_MN,cls_1_LPI,cls_1_ED,cls_1_PERIM_MN,cls_1_SHAPE_MN,cls_1_CORE_MN,cls_1_c_CA,cls_1_c_PERCENTLAND,cls_1_c_PD,cls_1_c_MPS,cls_1_c_PSSD,cls_1_c_PSCOV,cls_1_c_LSI,cls_1_c_MSI,cls_1_c_AWMSI,cls_1_c_MPFD,cls_1_c_AWMPFD,cls_1_c_MPAR,cls_1_c_ED,cls_1_c_TE,cls_6_CA,cls_6_PLAND,cls_6_NP,cls_6_PD,cls_6_AREA_MN,cls_6_LPI,cls_6_ED,cls_6_PERIM_MN,cls_6_SHAPE_MN,cls_6_CORE_MN,cls_6_c_CA,cls_6_c_PERCENTLAND,cls_6_c_PD,cls_6_c_MPS,cls_6_c_PSSD,cls_6_c_PSCOV,cls_6_c_LSI,cls_6_c_MSI,cls_6_c_AWMSI,cls_6_c_MPFD,cls_6_c_AWMPFD,cls_6_c_MPAR,cls_6_c_ED,cls_6_c_TE,dist_m_estrada,dist_m_mineracao,dist_m_hidrografia,dist_m_indigena,dist_m_lixao,pop_mean,pop_sum,built_mean,built_sum,alerts,n_alerts
0,ok,['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)'],12500.0,1.0,0.2439024390243902,12500.0,0.3048780487804878,1.4634146341463414,1.3416407864998738,1.0,0.2439024390243902,0.0176616268538297,0.9999907049375372,0.0,0.0,,1.25,1.25,1.25,12500.0,0.3048780487804878,1.0,0.2439024390243902,12500.0,0.3048780487804878,1.4634146341463414,600.0,1.3416407864998738,0.0,1.25,0.3048780487804878,0.2439024390243902,1.25,0.0,0.0,0.0835900124687288,1.513879513212096,1.513879513212096,1.3562178527537898,1.3562178527537898,0.048,1.4634146341463414,600.0,,,,,,,,,,,,,,,,,,,,,,,,,159086.8032002478,160955.43073062992,193.74778447203371,207626.1369832657,250047.2690422434,,,,,[],0
1,ok,['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)'],2997500.0,1.0,0.25,2997500.0,74.9375,18.0,1.039663768064234,1.0,0.25,0.2162064925535185,0.438437109375,0.0,0.0,,299.75,299.75,299.75,2997500.0,74.9375,1.0,0.25,2997500.0,74.9375,18.0,7200.0,1.039663768064234,2807500.0,299.75,74.9375,0.25,299.75,0.0,0.0,1.015541250385961,1.1731349366677024,1.1731349366677024,1.1911304349040002,1.1911304349040002,0.0024020016680567,18.0,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,158030.3793375023,159083.4662660905,1403.0686452709183,206158.4625628304,248938.05784915356,,,,,[],0
2,ok,['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)'],1145000.0,1.0,0.2439024390243902,1145000.0,27.92682926829269,13.170731707317072,1.261627146493194,1.0,0.2439024390243902,0.3562297013468409,0.9220092207019632,0.0,0.0,,114.5,114.5,114.5,1145000.0,27.92682926829269,1.0,0.2439024390243902,1145000.0,27.92682926829269,13.170731707317072,5400.0,1.261627146493194,1012500.0,114.5,27.92682926829269,0.2439024390243902,114.5,0.0,0.0,0.7523101122185591,1.4235937887450785,1.4235937887450785,1.2320559780408804,1.2320559780408804,0.0047161572052401,13.170731707317072,5400.0,,,,,,,,,,,,,,,,,,,,,,,,,156992.3266743804,157214.6551590727,1819.216773132653,204699.8060916182,247840.02206248496,,,,,[],0
3,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'VEGETACAO_NATURAL_FLORESTAL_SECUNDARIA(6)']",745000.0,5.0,1.2195121951219512,149000.0,17.74390243902439,12.682926829268292,1.0834183985536396,2.0,0.4878048780487804,0.330104945981869,0.9684971743010112,0.4762407685409616,1.936994348602023,,74.5,74.5,74.5,727500.0,17.74390243902439,1.0,0.2439024390243902,727500.0,17.74390243902439,10.0,4100.0,1.2017312826091258,575000.0,72.75,17.74390243902439,0.2439024390243902,72.75,0.0,0.0,0.5711984185363134,1.3560085437431073,1.3560085437431073,1.2326464633718492,1.2326464633718492,0.0056357388316151,10.0,4100.0,17500.0,0.426829268292683,4.0,0.975609756097561,4375.0,0.1829268292682927,2.682926829268293,275.0,1.053840177539768,0.0,1.75,0.426829268292683,0.9756097560975608,0.4375,0.2072890493972125,47.38035414793429,0.1532483561926694,1.1891313017841108,1.22274744454614,1.3477675154876891,1.345197473744449,0.0683333333333333,2.682926829268293,1100.0,153569.93043146387,151628.30695302773,546.7220672466783,200313.42682732013,244614.46442638512,,,,,[],0
4,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'VEGETACAO_NATURAL_FLORESTAL_SECUNDARIA(6)']",2172500.0,6.0,1.5,362083.3333333333,53.0625,18.0,1.011466259450008,2.0,0.5,0.3910322478733798,0.718280859375,0.564140284834589,1.43656171875,,217.25,217.25,217.25,2122500.0,53.0625,1.0,0.25,2122500.0,53.0625,13.75,5500.0,0.9437975567000478,1950000.0,212.25,53.0625,0.25,212.25,0.0,0.0,0.7757606773781649,1.06496150093598,1.06496150093598,1.182377976360992,1.182377976360992,0.0025912838633686,13.75,5500.0,50000.0,1.25,5.0,1.25,10000.0,1.0,4.25,340.0,1.025,2500.0,5.0,1.25,1.25,1.0,1.5,150.0,0.2397805730077964,1.1565886462729005,1.2412170838050638,1.3402697748554715,1.2979761786085389,0.0685,4.25,1700.0,151748.29849847502,149773.30211687647,737.7278036369104,198795.96316458765,243562.6328007458,,,,,[],0
5,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'VEGETACAO_NATURAL_FLORESTAL_SECUNDARIA(6)']",2107500.0,2.0,0.4878048780487805,1053750.0,51.09756097560976,17.804878048780488,1.2494395420272153,2.0,0.4878048780487804,0.3607477282197218,0.7388946311719214,0.5204489585145522,1.477789262343843,,210.75,210.75,210.75,2095000.0,51.09756097560976,1.0,0.2439024390243902,2095000.0,51.09756097560976,16.341463414634145,6700.0,1.1572382975545568,1902500.0,209.5,51.09756097560976,0.2439024390243902,209.5,0.0,0.0,0.9334218059008048,1.30580358632564,1.30580358632564,1.2105563724059705,1.2105563724059705,0.0031980906921241,16.341463414634145,6700.0,12500.0,0.3048780487804878,1.0,0.2439024390243902,12500.0,0.3048780487804878,1.4634146341463414,600.0,1.3416407864998738,0.0,1.25,0.3048780487804878,0.2439024390243902,1.25,0.0,0.0,0.0835900124687288,1.513879513212096,1.513879513212096,1.3562178527537898,1.3562178527537898,0.048,1.4634146341463414,600.0,149931.21310000864,147922.07605541835,1101.0935599662516,197287.10290783987,242522.7329283906,,,,,[],0
6,ok,['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)'],3067500.0,1.0,0.2439024390243902,3067500.0,74.8170731707317,17.804878048780488,1.042006871910351,1.0,0.2439024390243902,0.2170623423061324,0.4402405562165378,0.0,0.0,,306.75,306.75,306.75,3067500.0,74.8170731707317,1.0,0.2439024390243902,3067500.0,74.8170731707317,17.804878048780488,7300.0,1.042006871910351,2875000.0,306.75,74.8170731707317,0.2439024390243902,306.75,0.0,0.0,1.0170118183695336,1.1757788462340024,1.1757788462340024,1.1911364768160415,1.1911364768160415,0.0023797881010594,17.804878048780488,7300.0,,,,,,,,,,,,,,,,,,,,,,,,,148118.84156344878,146074.77243554656,37.68686267568145,195787.04496723227,241494.91894712803,,,,,[],0
7,ok,['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)'],2865000.0,1.0,0.2439024390243902,2865000.0,69.8780487804878,19.26829268292683,1.1668224777530976,1.0,0.2439024390243902,0.2504559405971213,0.5117058298631767,0.0,0.0,,286.5,286.5,286.5,2865000.0,69.8780487804878,1.0,0.2439024390243902,2865000.0,69.8780487804878,19.26829268292683,7900.0,1.1668224777530976,2620000.0,286.5,69.8780487804878,0.2439024390243902,286.5,0.0,0.0,1.1006018308382624,1.3166181755953623,1.3166181755953623,1.207233038499294,1.207233038499294,0.0027574171029668,19.26829268292683,7900.0,,,,,,,,,,,,,,,,,,,,,,,,,146311.3590619534,144231.54197209576,937.5995168042136,194295.99321713613,240479.34582309637,,,,,[],0
8,ok,['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)'],1285000.0,2.0,0.5,642500.0,32.0625,16.5,1.2064172571013567,1.0,0.25,0.3647908252397323,0.8967984375,0.0,0.0,,128.25,128.25,128.5,1285000.0,32.125,2.0,0.5,642500.0,32.0625,16.5,3300.0,1.2064172571013567,562500.0,128.5,32.125,0.5,64.25,64.0,99.61089494163424,0.930912812853798,1.361296099737682,1.59330674081315,1.3003246554394694,1.2464919545954949,0.042495126705653,16.5,6600.0,,,,,,,,,,,,,,,,,,,,,,,,,144508.94904819477,142392.54284266513,604.9825956396134,192814.1565950641,239476.16928982496,,,,,[],0
9,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'VEGETACAO_NATURAL_FLORESTAL_SECUNDARIA(6)']",1337500.0,2.0,0.4878048780487805,668750.0,32.37804878048781,18.78048780487805,1.291982541800012,2.0,0.4878048780487804,0.3797974103112997,0.895160246876859,0.547931840398583,1.790320493753718,,133.75,133.75,133.75,1327500.0,32.37804878048781,1.0,0.2439024390243902,1327500.0,32.37804878048781,17.804878048780488,7300.0,1.5839650836000236,1025000.0,132.75,32.37804878048781,0.2439024390243902,132.75,0.0,0.0,1.0170118183695336,1.7873132017409687,1.7873132017409687,1.261898113214129,1.261898113214129,0.0054990583804143,17.804878048780488,7300.0,10000.0,0.2439024390243902,1.0,0.2439024390243902,10000.0,0.2439024390243902,0.975609756097561,400.0,1.0,0.0,1.0,0.2439024390243902,0.2439024390243902,1.0,0.0,0.0,0.0557266749791525,1.1283791670955126,1.1283791670955126,1.301029995663981,1.301029995663981,0.04,0.975609756097561,400.0,157397.85669325214,160266.39529074755,162.41420306363736,206277.5571383056,248389.24839657667,,,,,[],0
